file,module,client,category,object,line,operations,flags
src/AuthContext.jsx,auth_context,supabase,table_or_view,profiles,16,"select, eq, single",
src/AuthContext.jsx,auth_context,supabase,auth_method,getSession,30,getSession,
src/AuthContext.jsx,auth_context,supabase,auth_method,onAuthStateChange,53,onAuthStateChange,
src/AuthContext.jsx,auth_context,supabase,auth_method,signOut,68,signOut,
src/components/CampoMotorista.jsx,component,supabase,table_or_view,motoristas,22,select,
src/components/CampoPrefixo.jsx,component,supabase,table_or_view,prefixos,22,select,
src/components/ChamadosMotoristasModal.jsx,component,supabase,table_or_view,avarias_motoristas_chamados,38,"select, eq",
src/components/ChamadosMotoristasModal.jsx,component,supabase,table_or_view,avarias_motoristas_chamados,100,"delete, eq",
src/components/ChamadosMotoristasModal.jsx,component,supabase,table_or_view,avarias_motoristas_chamados,148,"update, eq",
src/components/ChamadosMotoristasModal.jsx,component,supabase,table_or_view,avarias_motoristas_chamados,175,"update, eq",
src/components/ChamadosMotoristasModal.jsx,component,supabase,table_or_view,avarias_motoristas_chamados,202,"select, insert, single",
src/components/ChamadosMotoristasModal.jsx,component,supabase,table_or_view,avarias_motoristas_chamados,212,"update, eq",
src/components/CobrancaDetalheModal.jsx,component,supabase,table_or_view,cobrancas_avarias,115,"select, eq",
src/components/CobrancaDetalheModal.jsx,component,supabase,table_or_view,avarias_terceiros,126,"select, eq, maybeSingle",
src/components/CobrancaDetalheModal.jsx,component,supabase,table_or_view,avarias_terceiros,169,"select, eq, maybeSingle",
src/components/CobrancaDetalheModal.jsx,component,supabase,table_or_view,avarias_terceiros,313,upsert,
src/components/CobrancaDetalheModal.jsx,component,supabase,table_or_view,avarias,346,"update, eq",
src/components/desempenho/AnaliseResumoModal.jsx,component,supabase,table_or_view,diesel_acompanhamento_eventos,33,"select, eq",
src/components/desempenho/HistoricoModal.jsx,component,supabase,table_or_view,diesel_acompanhamento_eventos,31,"select, eq",
src/components/desempenho/ModalCheckpointAnalise.jsx,component,supabase,table_or_view,diesel_acompanhamento_eventos,228,"select, eq, maybeSingle","github_env_usage, github_token_frontend"
src/components/desempenho/ModalCheckpointAnalise.jsx,component,supabase,table_or_view,diesel_acompanhamento_eventos,300,insert,"github_env_usage, github_token_frontend"
src/components/desempenho/ModalCheckpointAnalise.jsx,component,supabase,table_or_view,diesel_acompanhamentos,313,"update, eq","github_env_usage, github_token_frontend"
src/components/desempenho/ModalCheckpointAnalise.jsx,component,supabase,table_or_view,diesel_tratativas,389,"select, eq, maybeSingle","github_env_usage, github_token_frontend"
src/components/desempenho/ModalCheckpointAnalise.jsx,component,supabase,table_or_view,diesel_tratativas,414,"update, eq","github_env_usage, github_token_frontend"
src/components/desempenho/ModalCheckpointAnalise.jsx,component,supabase,table_or_view,diesel_tratativas,434,insert,"github_env_usage, github_token_frontend"
src/components/desempenho/ModalCheckpointAnalise.jsx,component,supabase,table_or_view,diesel_tratativas_detalhes,472,insert,"github_env_usage, github_token_frontend"
src/components/desempenho/ModalCheckpointAnalise.jsx,component,supabase,table_or_view,acompanhamento_lotes,484,"select, insert, single","github_env_usage, github_token_frontend"
src/components/desempenho/ModalCheckpointAnalise.jsx,component,supabase,table_or_view,acompanhamento_lote_itens,501,insert,"github_env_usage, github_token_frontend"
src/components/desempenho/ModalLancamentoIntervencao.jsx,component,supabase,table_or_view,diesel_checklist_itens,146,select,
src/components/desempenho/ModalLancamentoIntervencao.jsx,component,supabase,table_or_view,diesel_acompanhamentos,276,"update, eq",
src/components/desempenho/ModalLancamentoIntervencao.jsx,component,supabase,table_or_view,diesel_checklist_respostas,283,"delete, eq",
src/components/desempenho/ModalLancamentoIntervencao.jsx,component,supabase,table_or_view,diesel_checklist_respostas,330,insert,
src/components/desempenho/ModalProntuarioUnificado.jsx,component,supabase,table_or_view,diesel_acompanhamentos,163,"select, eq",
src/components/desempenho/ResumoAnalise.jsx,component,supabase,table_or_view,diesel_acompanhamento_eventos,71,"select, eq, in",
src/components/desempenho/ResumoLancamentoInstrutor.jsx,component,supabase,table_or_view,diesel_checklist_itens,222,"select, eq, in",
src/components/desempenho/ResumoLancamentoInstrutor.jsx,component,supabase,table_or_view,diesel_checklist_respostas,267,"select, eq",
src/components/embarcados/ReparoSolicitacaoDetalhes.jsx,component,supabase,table_or_view,usuarios_aprovadores,238,"select, eq, maybeSingle",legacy_password_query
src/components/embarcados/ReparoSolicitacaoDetalhes.jsx,component,supabase,table_or_view,embarcados_solicitacoes_reparo,266,"select, eq, maybeSingle",legacy_password_query
src/components/embarcados/ReparoSolicitacaoDetalhes.jsx,component,supabase,table_or_view,usuarios_aprovadores,307,"select, eq, maybeSingle",legacy_password_query
src/components/embarcados/ReparoSolicitacaoDetalhes.jsx,component,supabase,table_or_view,embarcados_solicitacoes_reparo_eventos,356,insert,legacy_password_query
src/components/embarcados/ReparoSolicitacaoDetalhes.jsx,component,supabase,table_or_view,embarcados_solicitacoes_reparo,384,"update, eq",legacy_password_query
src/components/embarcados/ReparoSolicitacaoDetalhes.jsx,component,supabase,table_or_view,embarcados_solicitacoes_reparo,428,"update, eq",legacy_password_query
src/components/embarcados/ReparoSolicitacaoExecucao.jsx,component,supabase,table_or_view,usuarios_aprovadores,111,"select, eq, maybeSingle",
src/components/embarcados/ReparoSolicitacaoExecucao.jsx,component,supabase,table_or_view,embarcados_solicitacoes_reparo,141,"select, eq, maybeSingle",
src/components/embarcados/ReparoSolicitacaoExecucao.jsx,component,supabase,table_or_view,embarcados_solicitacoes_reparo_eventos,315,insert,
src/components/embarcados/ReparoSolicitacaoExecucao.jsx,component,supabase,table_or_view,embarcados_solicitacoes_reparo,349,"update, eq",
src/components/embarcados/ReparoSolicitacaoNovaModal.jsx,component,supabase,table_or_view,usuarios_aprovadores,123,"select, eq, maybeSingle",
src/components/embarcados/ReparoSolicitacaoNovaModal.jsx,component,supabase,table_or_view,prefixos,174,select,
src/components/embarcados/ReparoSolicitacaoNovaModal.jsx,component,supabase,table_or_view,embarcados_solicitacoes_reparo_eventos,249,insert,
src/components/embarcados/ReparoSolicitacaoNovaModal.jsx,component,supabase,table_or_view,embarcados_solicitacoes_reparo,406,"select, insert, single",
src/components/Sidebar.jsx,component,,flag_only,,,,localstorage_session
src/pages/auth/AtualizarPerfil.jsx,page,supabase,rpc,sync_profile_after_review,55,unknown,
src/pages/auth/AtualizarSenha.jsx,page,supabase,auth_method,getSession,36,getSession,
src/pages/auth/AtualizarSenha.jsx,page,supabase,auth_method,onAuthStateChange,47,onAuthStateChange,
src/pages/auth/AtualizarSenha.jsx,page,supabase,auth_method,updateUser,86,updateUser,
src/pages/auth/AtualizarSenha.jsx,page,supabase,auth_method,signOut,94,signOut,
src/pages/auth/Cadastro.jsx,page,supabase,table_or_view,profiles,55,"update, eq",
src/pages/auth/Cadastro.jsx,page,supabase,auth_method,signUp,40,signUp,
src/pages/auth/Login.jsx,page,supabase,table_or_view,usuarios_aprovadores,179,"select, eq, maybeSingle","legacy_password_query, localstorage_session"
src/pages/auth/Login.jsx,page,supabase,table_or_view,usuarios_aprovadores,256,"select, maybeSingle","legacy_password_query, localstorage_session"
src/pages/auth/Login.jsx,page,supabase,table_or_view,usuarios_aprovadores,272,insert,"legacy_password_query, localstorage_session"
src/pages/auth/Register.jsx,page,supabase,table_or_view,usuarios_aprovadores,26,insert,
src/pages/avarias/AprovacaoAvarias.jsx,page,supabase,table_or_view,usuarios_aprovadores,18,"select, eq, single",legacy_password_query
src/pages/avarias/AprovacaoAvarias.jsx,page,supabase,table_or_view,cobrancas_avarias,111,"select, eq",legacy_password_query
